Country,Commodity_Type,Order_Volume_Units,Lead_Time_Days,On_Time_Delivery_%,Delivery_Delay_Days,Disruption_Type,Supplier_Reliability_Score,Resupply_Time_Days,Stockout_Frequency_per_Year,Transport_Mode,Freight_Cost_USD,CO2_Emissions_tons,Warehouse_Type,Data_Year,Disruption_Severity,Outcome_Metric
Malawi,Malaria_RDT,3337093,52,83.19883954,7.726934109,None,0.783230901,42.4462409,0.080373903,Land,111504.6744,10972.7894,Public_Depot,2020,1,0.568
Uganda,LLIN,1067481,44,91.59723686,3.348903417,Port_Closure,0.964036772,26.19460256,0.148518637,Air,65403.17198,9284.353054,RDC,2023,2,0.693
Malawi,Malaria_RDT,3644804,41,81.70711311,2.889930621,Conflict,0.845816886,45.84790705,0.169587552,Ocean,55105.58505,17802.66176,Public_Depot,2024,5,0.613
Mozambique,HIV_ARV,112507,44,88.44527067,2.691032671,Flood,0.77801404,31.52802994,0.09202066,Land,79261.59233,13411.27696,COE,2020,3,0.731
Uganda,Malaria_RDT,1155710,64,84.94108195,0.968892846,Flood,0.87355391,27.17086331,0.118895368,Ocean,84597.40038,18395.45012,COE,2022,3,0.724
Kenya,HIV_ARV,2388377,65,90.39361707,7.561978601,None,0.758484716,50.25572107,0.168978014,Land,87671.68043,8268.847323,Public_Depot,2023,1,0.562
Zambia,HIV_ARV,4437373,61,95.09241994,2.882994993,None,0.721574749,32.90416832,0.162709236,Ocean,126007.1708,15754.70642,3PL,2021,1,0.72
Mozambique,Malaria_RDT,856564,56,84.03911158,2.566678009,None,0.706062843,53.32825756,0.131544781,Air,90533.00049,13172.4213,COE,2024,1,0.667
Malawi,LLIN,3968949,42,83.26428931,6.587209506,COVID_Lockdown,0.975943423,53.18031698,0.163005421,Land,164113.4005,12834.1786,Public_Depot,2024,5,0.544
Ghana,Maternal_Health,1659473,47,89.32904195,4.968151937,Port_Closure,0.910137139,34.27898749,0.115182152,Ocean,128374.5007,11713.52341,3PL,2023,3,0.66
Malawi,Maternal_Health,1761952,43,80.58998202,3.42340892,Conflict,0.931984963,52.8200913,0.000929634,Ocean,75957.6045,8557.762466,RDC,2022,4,0.713
Ghana,HIV_ARV,787954,60,94.08232729,7.431886432,None,0.984466141,35.32809784,0.008253357,Ocean,31734.93863,15655.18253,3PL,2022,1,0.702
Nigeria,HIV_ARV,2958056,44,93.23011275,3.303661604,COVID_Lockdown,0.970172324,39.17932286,0.19596168,Ocean,156642.3512,11431.76472,COE,2021,5,0.667
Uganda,LLIN,757173,47,81.0044018,0,Conflict,0.913704828,45.92543201,0.028998408,Ocean,76526.54495,13845.85409,3PL,2021,4,0.787
Ghana,Contraceptive,4560579,53,78.0843759,8.999728966,None,0.90125625,64.47275696,0.080903282,Air,112864.5106,20729.67125,3PL,2023,1,0.502
Malawi,Malaria_RDT,729447,38,80.19711424,2.515413573,Conflict,0.797686499,51.29076575,0.186762255,Ocean,64983.6222,10852.54822,RDC,2020,5,0.598
Nigeria,HIV_ARV,1111404,55,80.2731518,2.843137463,None,0.730165003,39.30652536,0.039007897,Ocean,132959.2943,11809.16342,Public_Depot,2022,1,0.698
Zambia,Maternal_Health,3030248,53,90.00880282,2.856388817,None,0.866379539,41.23962827,0.168758269,Ocean,110433.1523,12348.22994,3PL,2020,1,0.677
Kenya,LLIN,2663987,66,93.74585158,5.178802967,None,0.867113456,21.00253081,0.163653514,Ocean,52386.85038,11422.81644,RDC,2020,1,0.649
Kenya,Malaria_RDT,2803913,46,89.95063106,4.177272628,COVID_Lockdown,0.976148813,52.05761801,0.197265931,Air,26353.25966,11546.89022,COE,2023,5,0.622
Kenya,LLIN,2585232,42,84.81903892,7.964213339,COVID_Lockdown,0.828345534,50.76804095,0.056336367,Air,90660.99287,15790.83246,Public_Depot,2021,5,0.588
Ghana,Malaria_RDT,2428907,51,87.71249233,9.935341978,None,0.900334211,43.40190768,0.063065071,Land,99913.82972,18293.45624,COE,2020,1,0.55
Zambia,Malaria_RDT,4582688,44,81.65110984,2.962401565,Flood,0.866741482,48.61307368,0.1805756,Ocean,107881.6598,13519.51817,Public_Depot,2023,3,0.603
Ghana,HIV_ARV,2879915,55,91.48604023,2.185977728,Flood,0.751260466,15.69774879,0.046815812,Ocean,61666.56366,15959.45063,3PL,2021,4,0.808
Uganda,LLIN,2413162,36,88.1601447,3.434295876,Conflict,0.871698649,27.0188126,0.109580191,Ocean,65686.93402,12308.87284,3PL,2020,4,0.695
Ghana,LLIN,4931909,48,89.86598891,6.317174874,None,0.856633846,61.61768338,0.141468992,Ocean,28303.96714,12208.06252,Public_Depot,2020,1,0.609
Zambia,Maternal_Health,965113,45,82.36232149,4.650917094,Port_Closure,0.843232738,36.90727201,0.054376849,Ocean,68436.39845,11400.50691,COE,2021,2,0.658
Zambia,Maternal_Health,2742794,60,85.15701407,3.498765469,Flood,0.848892651,49.08919561,0.187682589,Land,36064.83609,9941.285312,COE,2021,3,0.611
Uganda,HIV_ARV,2261549,46,89.6253657,1.10896851,None,0.747556512,31.04032526,0.13313951,Ocean,63622.54512,17945.54975,COE,2024,1,0.748
Zambia,HIV_ARV,2395704,37,93.2175645,0,None,0.834408542,34.69398802,0.009427862,Ocean,94844.51172,10992.33161,3PL,2024,1,0.923
Malawi,Contraceptive,4631025,52,82.9595012,1.985847334,Flood,0.875639449,62.25619337,0.027147506,Air,94412.38516,15444.18749,Public_Depot,2023,4,0.754
Zambia,Maternal_Health,473332,58,89.90225954,8.793247586,None,0.841940268,38.11057817,0.038156314,Air,64779.37532,9651.508372,Public_Depot,2023,1,0.611
Kenya,Malaria_RDT,342575,52,82.43964102,6.307978319,COVID_Lockdown,0.841718997,46.28272089,0.048991473,Ocean,93162.50751,13183.50592,COE,2022,5,0.619
Malawi,LLIN,1509700,48,96.58596886,4.425394032,None,0.722480136,41.5654695,0.146135474,Air,129340.9827,12996.77857,3PL,2024,1,0.703
Malawi,HIV_ARV,79336,48,83.92587646,7.18936039,COVID_Lockdown,0.755324504,42.95700608,0.017787049,Land,76654.40858,9683.678149,Public_Depot,2021,5,0.627
Uganda,LLIN,3251078,56,89.21752587,1.136350535,None,0.793082081,42.54672635,0.070118934,Ocean,46629.50474,11613.04304,Public_Depot,2024,1,0.798
Ethiopia,LLIN,1692425,46,86.82804808,5.170250155,None,0.821610628,16.26876076,0.182276665,Ocean,108568.1872,8725.703228,COE,2023,1,0.588
Ethiopia,Contraceptive,2657622,51,98,0,None,0.872241859,45.7247904,0.111333537,Ocean,117760.6065,13067.06511,COE,2023,1,0.871
Zambia,Maternal_Health,1936963,62,87.14950804,6.038057078,Conflict,0.95037008,33.54844725,0.053099313,Air,64106.47998,5957.726472,Public_Depot,2023,5,0.659
Malawi,HIV_ARV,2822605,41,83.42471989,5.778545528,Conflict,0.746157774,61.35480607,0.191411259,Ocean,64328.73627,12768.94116,3PL,2021,5,0.545
Ethiopia,LLIN,1497947,54,89.19753256,5.84992467,None,0.704375529,30.72831708,0.048863178,Land,25502.0323,15603.74001,RDC,2020,1,0.683
Ethiopia,HIV_ARV,4226426,37,89.08620433,8.50285424,None,0.830278768,34.34078376,0.181019924,Air,71174.71963,12948.15646,Public_Depot,2023,1,0.523
Zambia,Malaria_RDT,3906756,57,85.21265068,7.32798439,Flood,0.82530984,69.35336795,0.145153935,Ocean,57318.27076,10199.17926,Public_Depot,2024,3,0.551
Ethiopia,Contraceptive,1548339,45,80.52617068,1.373259154,Port_Closure,0.860051353,48.6808585,0.148104207,Ocean,39312.78468,10402.80439,3PL,2020,3,0.655
Ghana,Malaria_RDT,726296,65,83.36000569,8.548157984,Conflict,0.941634314,28.19897191,0.152987864,Ocean,74056.66423,17832.61431,Public_Depot,2024,5,0.505
Nigeria,HIV_ARV,429039,40,90.40749474,4.371644155,None,0.93268456,42.11693391,0.101313862,Ocean,84851.98226,13632.79889,RDC,2023,1,0.694
Uganda,HIV_ARV,578714,59,77.26275527,0,Flood,0.729012552,25.35527042,0.162915745,Land,79365.31265,16378.32933,3PL,2021,3,0.647
Nigeria,Maternal_Health,2961190,67,84.7597705,4.673733125,Flood,0.970858656,43.09104033,0.16723862,Ocean,75283.43309,16770.76413,RDC,2020,4,0.596
Zambia,LLIN,4685352,44,90.97431961,6.94138727,COVID_Lockdown,0.732020174,30.34745869,0.072097344,Ocean,130730.6253,11217.07596,RDC,2020,5,0.649
Kenya,LLIN,602439,46,85.5325189,1.958444309,Flood,0.884025447,62.37818158,0.080068904,Ocean,94222.59582,8993.553904,Public_Depot,2023,3,0.735
Uganda,Malaria_RDT,4192535,45,96.8685507,8.998574731,None,0.894997825,45.05061369,0.177751344,Ocean,104521.8498,15584.31191,RDC,2023,1,0.558
Zambia,Contraceptive,323452,50,77.2767488,2.230050323,None,0.897164471,46.3306262,0.104945852,Ocean,139319.1187,9571.140589,Public_Depot,2023,1,0.64
Malawi,LLIN,828883,60,81.19316066,3.556724127,Flood,0.77695184,51.39701592,0.173388699,Ocean,114607.02,10638.27162,Public_Depot,2022,3,0.592
Kenya,Maternal_Health,4421047,49,74.42683099,3.005787393,Port_Closure,0.795800077,52.73947777,0.125353892,Air,76792.08392,13414.55805,3PL,2021,2,0.586
Nigeria,Malaria_RDT,4993772,43,95.96845283,0,Conflict,0.859116294,31.73116079,0.118713551,Ocean,29409.85533,11995.26766,3PL,2021,5,0.846
